
> client@0.1.0 dev
> next dev

▲ Next.js 16.2.9 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://100.67.68.102:3000
- Environments: .env.local
✓ Ready in 1925ms
⚠ Slow filesystem detected. The benchmark took 210ms. If D:\PROJECT\APLIKASI HABITAT\V2\habitat-saas\client\.next/dev is a network drive, consider moving it to a local folder.
See more: https://nextjs.org/docs/app/guides/local-development

○ Compiling / ...
 GET / 307 in 20.5s (next.js: 20.4s, application-code: 124ms)
 GET /api/sponsor/benefits 200 in 2.3s (next.js: 683ms, application-code: 1607ms)
 GET /api/sponsor/benefits 200 in 232ms (next.js: 6ms, application-code: 225ms)
 GET /login 200 in 128ms (next.js: 61ms, application-code: 67ms)
 POST /api/auth/login 200 in 1389ms (next.js: 7ms, application-code: 1383ms)
 GET /dashboard 200 in 56ms (next.js: 39ms, application-code: 17ms)
 GET /api/events 200 in 178ms (next.js: 6ms, application-code: 172ms)
 GET /dashboard/sponsor 200 in 192ms (next.js: 42ms, application-code: 150ms)
 GET /api/sponsor/deals 200 in 383ms (next.js: 3ms, application-code: 380ms)
 GET /api/sponsor/deliverables?dealId=8729fe56-41e2-43ec-938e-134f249c730f 200 in 200ms (next.js: 7ms, application-code: 193ms)
 GET /api/sponsor/deliverables?dealId=8729fe56-41e2-43ec-938e-134f249c730f 200 in 194ms (next.js: 2ms, application-code: 192ms)
 GET /api/sponsor/benefits 200 in 1317ms (next.js: 1946µs, application-code: 1315ms)
 GET /api/sponsor/packages 200 in 1683ms (next.js: 9ms, application-code: 1674ms)
 GET /api/sponsor/deliverables?dealId=46c46bfe-02f6-492d-afb6-e1f67ea8f91b 200 in 1321ms (next.js: 12ms, application-code: 1309ms)
 GET /api/sponsor/thresholds 200 in 1873ms (next.js: 3ms, application-code: 1870ms)
 GET /api/sponsor/deliverables?dealId=46c46bfe-02f6-492d-afb6-e1f67ea8f91b 200 in 194ms (next.js: 3ms, application-code: 191ms)
 GET /api/sponsor/thresholds 200 in 193ms (next.js: 1939µs, application-code: 191ms)
 GET /api/sponsor/packages 200 in 567ms (next.js: 6ms, application-code: 561ms)
 POST /api/sponsor/benefits 201 in 199ms (next.js: 6ms, application-code: 193ms)
 GET /api/sponsor/benefits 200 in 195ms (next.js: 1819µs, application-code: 193ms)
 POST /api/sponsor/benefits 201 in 197ms (next.js: 6ms, application-code: 191ms)
 GET /api/sponsor/benefits 200 in 192ms (next.js: 1790µs, application-code: 190ms)
 POST /api/sponsor/benefits 201 in 197ms (next.js: 6ms, application-code: 191ms)
 GET /api/sponsor/benefits 200 in 191ms (next.js: 1523µs, application-code: 190ms)
 GET /login 200 in 32ms (next.js: 3ms, application-code: 29ms)
 POST /api/auth/login 200 in 255ms (next.js: 6ms, application-code: 249ms)
 GET /dashboard 200 in 16ms (next.js: 3ms, application-code: 13ms)
 GET /api/events 200 in 49ms (next.js: 2ms, application-code: 47ms)
 GET /dashboard/sponsor 200 in 41ms (next.js: 3ms, application-code: 38ms)
 GET /api/sponsor/thresholds 200 in 1294ms (next.js: 2ms, application-code: 1291ms)
 GET /api/sponsor/benefits 200 in 1361ms (next.js: 1573µs, application-code: 1360ms)
 GET /api/sponsor/deals 200 in 1489ms (next.js: 3ms, application-code: 1486ms)
 GET /api/sponsor/thresholds 200 in 202ms (next.js: 6ms, application-code: 196ms)
 GET /api/sponsor/deliverables?dealId=8729fe56-41e2-43ec-938e-134f249c730f 200 in 191ms (next.js: 1877µs, application-code: 189ms)
 GET /api/sponsor/deliverables?dealId=46c46bfe-02f6-492d-afb6-e1f67ea8f91b 200 in 198ms (next.js: 6ms, application-code: 192ms)
 GET /api/sponsor/packages 200 in 1701ms (next.js: 7ms, application-code: 1694ms)
 GET /api/sponsor/deliverables?dealId=8729fe56-41e2-43ec-938e-134f249c730f 200 in 191ms (next.js: 1767µs, application-code: 189ms)
 GET /api/sponsor/deliverables?dealId=46c46bfe-02f6-492d-afb6-e1f67ea8f91b 200 in 193ms (next.js: 1847µs, application-code: 191ms)
 GET /api/sponsor/packages 200 in 560ms (next.js: 1760µs, application-code: 558ms)
 POST /api/sponsor/benefits 201 in 198ms (next.js: 6ms, application-code: 192ms)
 GET /api/sponsor/benefits 200 in 191ms (next.js: 1580µs, application-code: 189ms)
 POST /api/sponsor/benefits 201 in 197ms (next.js: 5ms, application-code: 192ms)
 GET /api/sponsor/benefits 200 in 193ms (next.js: 1880µs, application-code: 191ms)
 POST /api/sponsor/benefits 201 in 197ms (next.js: 6ms, application-code: 191ms)
 GET /api/sponsor/benefits 200 in 191ms (next.js: 1575µs, application-code: 190ms)
 POST /api/sponsor/thresholds 200 in 207ms (next.js: 5ms, application-code: 202ms)
 POST /api/sponsor/packages 201 in 1560ms (next.js: 6ms, application-code: 1555ms)
 POST /api/sponsor/codes 201 in 399ms (next.js: 6ms, application-code: 394ms)
 GET /sponsor-portal 200 in 74ms (next.js: 26ms, application-code: 48ms)
 POST /api/sponsor/codes/validate 200 in 403ms (next.js: 6ms, application-code: 397ms)
 GET /api/sponsor/benefits 200 in 199ms (next.js: 6ms, application-code: 193ms)
 GET /api/sponsor/packages 200 in 587ms (next.js: 1982µs, application-code: 585ms)
 GET /login 200 in 30ms (next.js: 3ms, application-code: 27ms)
 POST /api/auth/login 200 in 1464ms (next.js: 6ms, application-code: 1458ms)
 GET /dashboard 200 in 17ms (next.js: 3ms, application-code: 14ms)
 GET /api/events 200 in 59ms (next.js: 6ms, application-code: 53ms)
 GET /dashboard/sponsor 200 in 49ms (next.js: 4ms, application-code: 45ms)
 GET /api/sponsor/benefits 200 in 194ms (next.js: 1509µs, application-code: 192ms)
 GET /api/sponsor/thresholds 200 in 1308ms (next.js: 4ms, application-code: 1305ms)
 GET /api/sponsor/deals 200 in 1503ms (next.js: 3ms, application-code: 1500ms)
 GET /api/sponsor/thresholds 200 in 198ms (next.js: 5ms, application-code: 192ms)
 GET /api/sponsor/packages 200 in 1687ms (next.js: 7ms, application-code: 1679ms)
 GET /api/sponsor/deliverables?dealId=8729fe56-41e2-43ec-938e-134f249c730f 200 in 192ms (next.js: 1690µs, application-code: 190ms)
 GET /api/sponsor/deliverables?dealId=46c46bfe-02f6-492d-afb6-e1f67ea8f91b 200 in 193ms (next.js: 3ms, application-code: 190ms)
 GET /api/sponsor/deliverables?dealId=8729fe56-41e2-43ec-938e-134f249c730f 200 in 194ms (next.js: 4ms, application-code: 189ms)
 GET /api/sponsor/deliverables?dealId=46c46bfe-02f6-492d-afb6-e1f67ea8f91b 200 in 190ms (next.js: 1438µs, application-code: 189ms)
